dataset,model,pooling,n_shots,seed,k,accuracy,macro_f1
cifar10,dinov2_vits14,mean_pool,50,1,5,0.9057000279426575,0.9047838885936812
cifar10,dinov2_vits14,mean_pool,50,1,20,0.9114000201225281,0.9104533090434378
cifar10,dinov2_vits14,mean_pool,50,2,1,0.8855999708175659,0.8852789345788811
cifar10,dinov2_vits14,mean_pool,50,2,5,0.904699981212616,0.904101399300415
cifar10,dinov2_vits14,mean_pool,50,2,20,0.9139000177383423,0.9132051322117285
cifar10,dinov2_vits14,mean_pool,100,0,1,0.9016000032424927,0.9013352371700496
cifar10,dinov2_vits14,mean_pool,100,0,5,0.9208999872207642,0.9205144517438211
cifar10,dinov2_vits14,mean_pool,100,0,20,0.9277999997138977,0.9274649255035529
cifar10,dinov2_vits14,mean_pool,100,1,1,0.902999997138977,0.9023285667677852
cifar10,dinov2_vits14,mean_pool,100,1,5,0.9186000227928162,0.9180926469320074
cifar10,dinov2_vits14,mean_pool,100,1,20,0.9218000173568726,0.9212704376126595
cifar10,dinov2_vits14,mean_pool,100,2,1,0.9035000205039978,0.9033661859276944
cifar10,dinov2_vits14,mean_pool,100,2,5,0.9223999977111816,0.9221632329841052
cifar10,dinov2_vits14,mean_pool,100,2,20,0.9298999905586243,0.9296093085345676
cifar10,dinov2_vits14_reg,cls,1,0,1,0.7480999827384949,0.7437207457869196
cifar10,dinov2_vits14_reg,cls,1,0,5,0.7480999827384949,0.7437207457869196
cifar10,dinov2_vits14_reg,cls,1,0,20,0.7480999827384949,0.7437207457869196
cifar10,dinov2_vits14_reg,cls,1,1,1,0.6601999998092651,0.6538986929162622
cifar10,dinov2_vits14_reg,cls,1,1,5,0.6601999998092651,0.6538986929162622
cifar10,dinov2_vits14_reg,cls,1,1,20,0.6601999998092651,0.6538986929162622
cifar10,dinov2_vits14_reg,cls,1,2,1,0.6377000212669373,0.6104961211875216
cifar10,dinov2_vits14_reg,cls,1,2,5,0.6377000212669373,0.6104961211875216
cifar10,dinov2_vits14_reg,cls,1,2,20,0.6377000212669373,0.6104961211875216
cifar10,dinov2_vits14_reg,cls,2,0,1,0.7997000217437744,0.7964810911766393
cifar10,dinov2_vits14_reg,cls,2,0,5,0.8133999705314636,0.8090176707980717
cifar10,dinov2_vits14_reg,cls,2,0,20,0.8141000270843506,0.8099331967231391
cifar10,dinov2_vits14_reg,cls,2,1,1,0.8025000095367432,0.7997323678992645
cifar10,dinov2_vits14_reg,cls,2,1,5,0.8129000067710876,0.8100444017311261
cifar10,dinov2_vits14_reg,cls,2,1,20,0.8112999796867371,0.8086296039413503
cifar10,dinov2_vits14_reg,cls,2,2,1,0.766700029373169,0.763628565050855
cifar10,dinov2_vits14_reg,cls,2,2,5,0.7827000021934509,0.7800492002132742
cifar10,dinov2_vits14_reg,cls,2,2,20,0.7827000021934509,0.779953973767954
cifar10,dinov2_vits14_reg,cls,5,0,1,0.8619999885559082,0.862061090674491
cifar10,dinov2_vits14_reg,cls,5,0,5,0.876800000667572,0.8762496267595173
cifar10,dinov2_vits14_reg,cls,5,0,20,0.8802000284194946,0.8795027159534806
cifar10,dinov2_vits14_reg,cls,5,1,1,0.880299985408783,0.8802200587795113
cifar10,dinov2_vits14_reg,cls,5,1,5,0.8978000283241272,0.8975364112571951
cifar10,dinov2_vits14_reg,cls,5,1,20,0.9000999927520752,0.8997676947157416
cifar10,dinov2_vits14_reg,cls,5,2,1,0.8388000130653381,0.8369362283454018
cifar10,dinov2_vits14_reg,cls,5,2,5,0.8580999970436096,0.8560843851909409
cifar10,dinov2_vits14_reg,cls,5,2,20,0.8633999824523926,0.8610719301790987
cifar10,dinov2_vits14_reg,cls,10,0,1,0.8841999769210815,0.8838640704832035
cifar10,dinov2_vits14_reg,cls,10,0,5,0.9031999707221985,0.9026886229594544
cifar10,dinov2_vits14_reg,cls,10,0,20,0.911300003528595,0.9106431481724405
cifar10,dinov2_vits14_reg,cls,10,1,1,0.9035000205039978,0.9034097870119829
cifar10,dinov2_vits14_reg,cls,10,1,5,0.9161999821662903,0.9160400293614362
